epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,3310.2,1.05031,1.34632,1.0857,0.44159,0.17406,0.19259,0.12822,1.19577,1.41902,1.14139,1.58464e-05,1.58464e-05,1.58464e-05
40,3396.84,1.05167,1.36375,1.08651,0.43088,0.17667,0.19233,0.1289,1.18933,1.41199,1.13835,1.45792e-05,1.45792e-05,1.45792e-05
41,3461.19,1.04948,1.48398,1.09917,0.42745,0.18237,0.18402,0.12374,1.2067,1.44254,1.15143,1.3312e-05,1.3312e-05,1.3312e-05
42,3515.23,1.02757,1.43022,1.08612,0.4194,0.19321,0.18646,0.12316,1.2023,1.43522,1.14162,1.20448e-05,1.20448e-05,1.20448e-05
43,3570.87,1.02278,1.40731,1.08878,0.4073,0.18974,0.18753,0.12354,1.20126,1.43889,1.14122,1.07776e-05,1.07776e-05,1.07776e-05
44,3626.93,1.01966,1.3921,1.08286,0.38526,0.18892,0.1869,0.12467,1.19787,1.42033,1.13979,9.5104e-06,9.5104e-06,9.5104e-06
45,3681.36,1.01767,1.37433,1.07926,0.39388,0.19141,0.18675,0.12383,1.20227,1.42325,1.14212,8.2432e-06,8.2432e-06,8.2432e-06
46,3737.35,1.02262,1.38431,1.07972,0.40522,0.19068,0.18996,0.12676,1.2029,1.41828,1.14209,6.976e-06,6.976e-06,6.976e-06
47,3791.46,1.02416,1.37028,1.07825,0.41208,0.18196,0.18774,0.12558,1.19861,1.41568,1.14107,5.7088e-06,5.7088e-06,5.7088e-06
48,3847.08,1.01457,1.34582,1.07196,0.38637,0.18579,0.18573,0.12424,1.19816,1.4195,1.13896,4.4416e-06,4.4416e-06,4.4416e-06
49,3902.19,1.01932,1.36519,1.07297,0.41952,0.17527,0.18617,0.12377,1.19775,1.41742,1.13829,3.1744e-06,3.1744e-06,3.1744e-06
50,3956.81,1.00512,1.3534,1.07099,0.3956,0.17823,0.18698,0.12535,1.19552,1.41312,1.13686,1.9072e-06,1.9072e-06,1.9072e-06
